# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
أشهر	أَشْهَرَ	يُشْهِرُ	أُشْهِرَ	يُشْهَرُ
أصأب	أَصْأَبَ	يُصْئِبُ	أُصْئِبَ	يُصْأَبُ
أصاب	أَصَابَ	يُصِيبُ	أُصِيبَ	يُصَابُ
أصاخ	أَصَاخَ	يُصِيخُ	-	-
أصبح	أَصْبَحَ	يُصْبِحُ	-	-
أصبر	أَصْبَرَ	يُصْبِرُ	أُصْبِرَ	يُصْبَرُ
أصحب	أَصْحَبَ	يُصْحِبُ	أُصْحِبَ	يُصْحَبُ
أصحر	أَصْحَرَ	يُصْحِرُ	-	-
أصحف	أَصْحَفَ	يُصْحِفُ	أُصْحِفَ	يُصْحَفُ
أصحى	أَصْحَى	يُصْحِي	أُصْحِيَ	يُصْحَى
أصخد	أَصْخَدَ	يُصْخِدُ	أُصْخِدَ	يُصْخَدُ
أصخر	أَصْخَرَ	يُصْخِرُ	-	-
أصدر	أَصْدَرَ	يُصْدِرُ	أُصْدِرَ	يُصْدَرُ
أصدق	أَصْدَقَ	يُصْدِقُ	أُصْدِقَ	يُصْدَقُ
أصر	أَصَرَّ	يُصِرُّ	أُصِرَّ	يُصَرُّ
أصرخ	أَصْرَخَ	يُصْرِخُ	أُصْرِخَ	يُصْرَخُ
أصغر	أَصْغَرَ	يُصْغِرُ	أُصْغِرَ	يُصْغَرُ
أصغى	أَصْغَى	يُصْغِي	أُصْغِيَ	يُصْغَى
أصفر	أَصْفَرَ	يُصْفِرُ	أُصْفِرَ	يُصْفَرُ
أصفق	أَصْفَقَ	يُصْفِقُ	أُصْفِقَ	يُصْفَقُ
أصقع	أَصْقَعَ	يُصْقِعُ	أُصْقِعَ	يُصْقَعُ
أصل	أَصَّلَ	يُؤَصِّلُ	أُصِّلَ	يُؤَصَّلُ
أصلح	أَصْلَحَ	يُصْلِحُ	أُصْلِحَ	يُصْلَحُ
أصلى	أَصْلَى	يُصْلِي	أُصْلِيَ	يُصْلَى
أصم	أَصَمَّ	يُصِمُّ	أُصِمَّ	يُصَمُّ
أصمت	أَصْمَتَ	يُصْمِتُ	أُصْمِتَ	يُصْمَتُ
أصن	أَصَنَّ	يُصِنُّ	-	-
أصهب	أَصْهَبَ	يُصْهِبُ	-	-
أضاء	أَضَاءَ	يُضِيءُ	أُضِيءَ	يُضَاءُ
أضاع	أَضَاعَ	يُضِيعُ	أُضِيعَ	يُضَاعُ
أضاف	أَضَافَ	يُضِيفُ	أُضِيفَ	يُضَافُ
أضب	أَضَبَّ	يُضِبُّ	أُضِبَّ	يُضَبُّ
أضبط	أَضْبَطَ	يُضْبِطُ	أُضْبِطَ	يُضْبَطُ
أضج	أَضَجَّ	يُضِجُّ	أُضِجَّ	يُضَجُّ
أضحك	أَضْحَكَ	يُضْحِكُ	أُضْحِكَ	يُضْحَكُ
أضحى	أَضْحَى	يُضْحِي	أُضْحِيَ	يُضْحَى
أضر	أَضَرَّ	يُضِرُّ	أُضِرَّ	يُضَرُّ
أضرب	أَضْرَبَ	يُضْرِبُ	أُضْرِبَ	يُضْرَبُ
أضرم	أَضْرَمَ	يُضْرِمُ	أُضْرِمَ	يُضْرَمُ
أضعف	أَضْعَفَ	يُضْعِفُ	أُضْعِفَ	يُضْعَفُ
أضفى	أَضْفَى	يُضْفِي	أُضْفِيَ	يُضْفَى
أضل	أَضَلَّ	يُضِلُّ	أُضِلَّ	يُضَلُّ
أضمر	أَضْمَرَ	يُضْمِرُ	أُضْمِرَ	يُضْمَرُ
أطاح	أَطَاحَ	يُطِيحُ	أُطِيحَ	يُطَاحُ
أطاع	أَطَاعَ	يُطِيعُ	أُطِيعَ	يُطَاعُ
أطاف	أَطَافَ	يُطِيفُ	أُطِيفَ	يُطَافُ
أطاق	أَطَاقَ	يُطِيقُ	أُطِيقَ	يُطَاقُ
أطال	أَطَالَ	يُطِيلُ	أُطِيلَ	يُطَالُ
أطبق	أَطْبَقَ	يُطْبِقُ	أُطْبِقَ	يُطْبَقُ
أطر	أَطَّرَ	يُؤَطِّرُ	أُطِّرَ	يُؤَطَّرُ
أطرب	أَطْرَبَ	يُطْرِبُ	أُطْرِبَ	يُطْرَبُ
أطرى	أَطْرَى	يُطْرِي	أُطْرِيَ	يُطْرَى
أطعم	أَطْعَمَ	يُطْعِمُ	أُطْعِمَ	يُطْعَمُ
أطفأ	أَطْفَأَ	يُطْفِئُ	أُطْفِئَ	يُطْفَأُ
أطفح	أَطْفَحَ	يُطْفِحُ	أُطْفِحَ	يُطْفَحُ
أطل	أَطَلَّ	يُطِلُّ	أُطِلَّ	يُطَلُّ
أطلب	أَطْلَبَ	يُطْلِبُ	أُطْلِبَ	يُطْلَبُ
أطلع	أَطْلَعَ	يُطْلِعُ	أُطْلِعَ	يُطْلَعُ
أطلق	أَطْلَقَ	يُطْلِقُ	أُطْلِقَ	يُطْلَقُ
أطنب	أَطْنَبَ	يُطْنِبُ	أُطْنِبَ	يُطْنَبُ
أطوى	أَطْوَى	يُطْوِي	أُطْوِيَ	يُطْوَى
أظلم	أَظْلَمَ	يُظْلِمُ	-	-
أظمأ	أَظْمَأَ	يُظْمِئُ	أُظْمِئَ	يُظْمَأُ
أظهر	أَظْهَرَ	يُظْهِرُ	أُظْهِرَ	يُظْهَرُ
أعاد	أَعَادَ	يُعِيدُ	أُعِيدَ	يُعَادُ
أعار	أَعَارَ	يُعِيرُ	أُعِيرَ	يُعَارُ
أعاض	أَعَاضَ	يُعِيضُ	أُعِيضَ	يُعَاضُ
أعاق	أَعَاقَ	يُعِيقُ	أُعِيقَ	يُعَاقُ
أعال	أَعَالَ	يُعِيلُ	أُعِيلَ	يُعَالُ
أعان	أَعَانَ	يُعِينُ	أُعِينَ	يُعَانُ
أعبل	أَعْبَلَ	يُعْبِلُ	-	-
أعتد	أَعْتَدَ	يُعْتِدُ	أُعْتِدَ	يُعْتَدُ
أعتق	أَعْتَقَ	يُعْتِقُ	أُعْتِقَ	يُعْتَقُ
أعتم	أَعْتَمَ	يُعْتِمُ	أُعْتِمَ	يُعْتَمُ
أعتن	أَعْتَنَ	يُعْتِنُ	أُعْتِنَ	يُعْتَنُ
أعجب	أَعْجَبَ	يُعْجِبُ	أُعْجِبَ	يُعْجَبُ
أعجز	أَعْجَزَ	يُعْجِزُ	أُعْجِزَ	يُعْجَزُ
أعجم	أَعْجَمَ	يُعْجِمُ	أُعْجِمَ	يُعْجَمُ
أعد	أَعَدَّ	يُعِدُّ	أُعِدَّ	يُعَدُّ
أعدل	أَعْدَلَ	يُعْدِلُ	أُعْدِلَ	يُعْدَلُ
أعدم	أَعْدَمَ	يُعْدِمُ	أُعْدِمَ	يُعْدَمُ
أعدى	أَعْدَى	يُعْدِي	أُعْدِيَ	يُعْدَى
أعذب	أَعْذَبَ	يُعْذِبُ	أُعْذِبَ	يُعْذَبُ
أعذر	أَعْذَرَ	يُعْذِرُ	أُعْذِرَ	يُعْذَرُ
أعرب	أَعْرَبَ	يُعْرِبُ	أُعْرِبَ	يُعْرَبُ
أعرس	أَعْرَسَ	يُعْرِسُ	أُعْرِسَ	يُعْرَسُ
أعرق	أَعْرَقَ	يُعْرِقُ	-	-
أعرن	أَعْرَنَ	يُعْرِنُ	أُعْرِنَ	يُعْرَنُ
أعز	أَعَزَّ	يُعِزُّ	أُعِزَّ	يُعَزُّ
أعش	أَعَشَّ	يُعِشُّ	أُعِشَّ	يُعَشُّ
أعصر	أَعْصَرَ	يُعْصِرُ	-	-
أعض	أَعَضَّ	يُعِضُّ	أُعِضَّ	يُعَضُّ
أعطب	أَعْطَبَ	يُعْطِبُ	أُعْطِبَ	يُعْطَبُ
أعطى	أَعْطَى	يُعْطِي	أُعْطِيَ	يُعْطَى
أعظ	أَعَظَّ	يُعِظُّ	أُعِظَّ	يُعَظُّ
أعف	أَعَفَّ	يُعِفُّ	أُعِفَّ	يُعَفُّ
أعفى	أَعْفَى	يُعْفِي	أُعْفِيَ	يُعْفَى
أعقب	أَعْقَبَ	يُعْقِبُ	أُعْقِبَ	يُعْقَبُ
أعكر	أَعْكَرَ	يُعْكِرُ	أُعْكِرَ	يُعْكَرُ
أعل	أَعَلَّ	يُعِلُّ	أُعِلَّ	يُعَلُّ
أعلم	أَعْلَمَ	يُعْلِمُ	أُعْلِمَ	يُعْلَمُ
أعلن	أَعْلَنَ	يُعْلِنُ	أُعْلِنَ	يُعْلَنُ
أعلى	أَعْلَى	يُعْلِي	أُعْلِيَ	يُعْلَى
أعم	أَعَمَّ	يُعِمُّ	أُعِمَّ	يُعَمُّ
أعمد	أَعْمَدَ	يُعْمِدُ	أُعْمِدَ	يُعْمَدُ
أعمر	أَعْمَرَ	يُعْمِرُ	أُعْمِرَ	يُعْمَرُ
أعمل	أَعْمَلَ	يُعْمِلُ	أُعْمِلَ	يُعْمَلُ
أعمى	أَعْمَى	يُعْمِي	أُعْمِيَ	يُعْمَى
أعول	أَعْوَلَ	يُعْوِلُ	أُعْوِلَ	يُعْوَلُ
أعوم	أَعْوَمَ	يُعْوِمُ	-	-
أعيا	أَعْيَا	يُعْيِي	أُعْيِيَ	يُعْيَا
أغاث	أَغَاثَ	يُغِيثُ	أُغِيثَ	يُغَاثُ
أغار	أَغَارَ	يُغِيرُ	أُغِيرَ	يُغَارُ
أغاظ	أَغَاظَ	يُغِيظُ	أُغِيظَ	يُغَاظُ
أغب	أَغَبَّ	يُغِبُّ	أُغِبَّ	يُغَبُّ
أغتم	أَغْتَمَ	يُغْتِمُ	أُغْتِمَ	يُغْتَمُ
أغدق	أَغْدَقَ	يُغْدِقُ	أُغْدِقَ	يُغْدَقُ
أغرق	أَغْرَقَ	يُغْرِقُ	أُغْرِقَ	يُغْرَقُ
أغرم	أَغْرَمَ	يُغْرِمُ	أُغْرِمَ	يُغْرَمُ
أغرى	أَغْرَى	يُغْرِي	أُغْرِيَ	يُغْرَى
أغزل	أَغْزَلَ	يُغْزِلُ	أُغْزِلَ	يُغْزَلُ
أغضب	أَغْضَبَ	يُغْضِبُ	أُغْضِبَ	يُغْضَبُ
أغضى	أَغْضَى	يُغْضِي	أُغْضِيَ	يُغْضَى
أغفل	أَغْفَلَ	يُغْفِلُ	أُغْفِلَ	يُغْفَلُ
أغلق	أَغْلَقَ	يُغْلِقُ	أُغْلِقَ	يُغْلَقُ
أغلى	أَغْلَى	يُغْلِي	أُغْلِيَ	يُغْلَى
أغمض	أَغْمَضَ	يُغْمِضُ	أُغْمِضَ	يُغْمَضُ
أغنى	أَغْنَى	يُغْنِي	أُغْنِيَ	يُغْنَى
أغوى	أَغْوَى	يُغْوِي	أُغْوِيَ	يُغْوَى
أغيا	أَغْيَا	يُغْيِي	أُغْيِيَ	يُغْيَا
أغيم	أَغْيَمَ	يُغْيِمُ	-	-
أفأد	أَفْأَدَ	يُفْئِدُ	أُفْئِدَ	يُفْأَدُ
أفاء	أَفَاءَ	يُفِيءُ	أُفِيءَ	يُفَاءُ
أفاد	أَفَادَ	يُفِيدُ	أُفِيدَ	يُفَادُ
أفاض	أَفَاضَ	يُفِيضُ	أُفِيضَ	يُفَاضُ
أفاق	أَفَاقَ	يُفِيقُ	أُفِيقَ	يُفَاقُ
أفتى	أَفْتَى	يُفْتِي	أُفْتِيَ	يُفْتَى
أفجر	أَفْجَرَ	يُفْجِرُ	-	-
أفحم	أَفْحَمَ	يُفْحِمُ	أُفْحِمَ	يُفْحَمُ
أفرج	أَفْرَجَ	يُفْرِجُ	أُفْرِجَ	يُفْرَجُ
أفرح	أَفْرَحَ	يُفْرِحُ	أُفْرِحَ	يُفْرَحُ
أفرد	أَفْرَدَ	يُفْرِدُ	أُفْرِدَ	يُفْرَدُ
أفرز	أَفْرَزَ	يُفْرِزُ	أُفْرِزَ	يُفْرَزُ
أفرط	أَفْرَطَ	يُفْرِطُ	أُفْرِطَ	يُفْرَطُ
أفرغ	أَفْرَغَ	يُفْرِغُ	أُفْرِغَ	يُفْرَغُ
أفرق	أَفْرَقَ	يُؤَفْرِقُ	أُفْرِقَ	يُؤَفْرَقُ
أفسح	أَفْسَحَ	يُفْسِحُ	أُفْسِحَ	يُفْسَحُ
أفسد	أَفْسَدَ	يُفْسِدُ	أُفْسِدَ	يُفْسَدُ
أفسل	أَفْسَلَ	يُفْسِلُ	أُفْسِلَ	يُفْسَلُ
أفشل	أَفْشَلَ	يُفْشِلُ	أُفْشِلَ	يُفْشَلُ
أفشى	أَفْشَى	يُفْشِي	أُفْشِيَ	يُفْشَى
أفصح	أَفْصَحَ	يُفْصِحُ	أُفْصِحَ	يُفْصَحُ
أفضل	أَفْضَلَ	يُفْضِلُ	أُفْضِلَ	يُفْضَلُ
أفضى	أَفْضَى	يُفْضِي	أُفْضِيَ	يُفْضَى
أفطر	أَفْطَرَ	يُفْطِرُ	-	-
أفق	أَفَقَ	يَأْفِقُ	أُفِقَ	يُؤْفَقُ
أفقد	أَفْقَدَ	يُفْقِدُ	أُفْقِدَ	يُفْقَدُ
أفقر	أَفْقَرَ	يُفْقِرُ	أُفْقِرَ	يُفْقَرُ
أفك	أَفِكَ	يَأْفَكُ	أُفِكَ	يُؤْفَكُ
أفل	أَفَلَ	يَأْفُلُ	أُفِلَ	يُؤْفَلُ
أفلت	أَفْلَتَ	يُفْلِتُ	أُفْلِتَ	يُفْلَتُ
أفلح	أَفْلَحَ	يُفْلِحُ	أُفْلِحَ	يُفْلَحُ
أفلس	أَفْلَسَ	يُفْلِسُ	-	-
أفلى	أَفْلَى	يُفْلِي	أُفْلِيَ	يُفْلَى
أفنى	أَفْنَى	يُفْنِي	أُفْنِيَ	يُفْنَى
أفهم	أَفْهَمَ	يُفْهِمُ	أُفْهِمَ	يُفْهَمُ
أقاد	أَقَادَ	يُقِيدُ	أُقِيدَ	يُقَادُ
أقال	أَقَالَ	يُقِيلُ	أُقِيلَ	يُقَالُ
أقام	أَقَامَ	يُقِيمُ	أُقِيمَ	يُقَامُ
أقبر	أَقْبَرَ	يُقْبِرُ	أُقْبِرَ	يُقْبَرُ
أقبض	أَقْبَضَ	يُقْبِضُ	أُقْبِضَ	يُقْبَضُ
أقبل	أَقْبَلَ	يُقْبِلُ	أُقْبِلَ	يُقْبَلُ
أقتل	أَقْتَلَ	يُقْتِلُ	أُقْتِلَ	يُقْتَلُ
أقحم	أَقْحَمَ	يُقْحِمُ	أُقْحِمَ	يُقْحَمُ
أقدر	أَقْدَرَ	يُقْدِرُ	أُقْدِرَ	يُقْدَرُ
أقدم	أَقْدَمَ	يُقْدِمُ	أُقْدِمَ	يُقْدَمُ
أقر	أَقَرَّ	يُقِرُّ	أُقِرَّ	يُقَرُّ
أقرأ	أَقْرَأَ	يُقْرِئُ	أُقْرِئَ	يُقْرَأُ
أقرب	أَقْرَبَ	يُقْرِبُ	أُقْرِبَ	يُقْرَبُ
أقرض	أَقْرَضَ	يُقْرِضُ	أُقْرِضَ	يُقْرَضُ
أقرن	أَقْرَنَ	يُقْرِنُ	أُقْرِنَ	يُقْرَنُ
أقسم	أَقْسَمَ	يُقْسِمُ	أُقْسِمَ	يُقْسَمُ
أقسى	أَقْسَى	يُقْسِي	أُقْسِيَ	يُقْسَى
أقصر	أَقْصَرَ	يُقْصِرُ	أُقْصِرَ	يُقْصَرُ
أقصى	أَقْصَى	يُقْصِي	أُقْصِيَ	يُقْصَى
أقض	أَقَضَّ	يُقِضُّ	أُقِضَّ	يُقَضُّ
أقضب	أَقْضَبَ	يُقْضِبُ	أُقْضِبَ	يُقْضَبُ
أقضى	أَقْضَى	يُقْضِي	أُقْضِيَ	يُقْضَى
أقط	أَقَطَ	يَأْقِطُ	أُقِطَ	يُؤْقَطُ
أقطف	أَقْطَفَ	يُقْطِفُ	-	-
أقف	أَقَفَّ	يُقِفُّ	-	-
أقفل	أَقْفَلَ	يُقْفِلُ	أُقْفِلَ	يُقْفَلُ
أقل	أَقَلَّ	يُقِلُّ	أُقِلَّ	يُقَلُّ
أقلع	أَقْلَعَ	يُقْلِعُ	أُقْلِعَ	يُقْلَعُ
أقلق	أَقْلَقَ	يُقْلِقُ	أُقْلِقَ	يُقْلَقُ
أقمر	أَقْمَرَ	يُقْمِرُ	-	-
أقنع	أَقْنَعَ	يُقْنِعُ	أُقْنِعَ	يُقْنَعُ
أقوى	أَقْوَى	يُقْوِي	-	-
أكب	أَكَبَّ	يُكِبُّ	أُكِبَّ	يُكَبُّ
أكبر	أَكْبَرَ	يُكْبِرُ	أُكْبِرَ	يُكْبَرُ
أكتب	أَكْتَبَ	يُكْتِبُ	أُكْتِبَ	يُكْتَبُ
أكثر	أَكْثَرَ	يُكْثِرُ	أُكْثِرَ	يُكْثَرُ
أكد	أَكَّدَ	يُؤَكِّدُ	أُكِّدَ	يُؤَكَّدُ
أكدى	أَكْدَى	يُكْدِي	أُكْدِيَ	يُكْدَى
أكذب	أَكْذَبَ	يُكْذِبُ	أُكْذِبَ	يُكْذَبُ
أكرب	أَكْرَبَ	يُكْرِبُ	-	-
أكرم	أَكْرَمَ	يُكْرِمُ	أُكْرِمَ	يُكْرَمُ
أكرن	أَكْرَنَ	يُؤَكْرِنُ	أُكْرِنَ	يُؤَكْرَنُ
أكره	أَكْرَهَ	يُكْرِهُ	أُكْرِهَ	يُكْرَهُ
أكرى	أَكْرَى	يُكْرِي	أُكْرِيَ	يُكْرَى
أكسد	أَكْسَدَ	يُؤَكْسِدُ	أُكْسِدَ	يُؤَكْسَدُ
أكسف	أَكْسَفَ	يُكْسِفُ	أُكْسِفَ	يُكْسَفُ
أكشف	أَكْشَفَ	يُكْشِفُ	أُكْشِفَ	يُكْشَفُ
أكفر	أَكْفَرَ	يُكْفِرُ	أُكْفِرَ	يُكْفَرُ
أكل	أَكَلَّ	يُكِلُّ	أُكِلَّ	يُكَلُّ
أكلف	أَكْلَفَ	يُكْلِفُ	أُكْلِفَ	يُكْلَفُ
أكمل	أَكْمَلَ	يُكْمِلُ	أُكْمِلَ	يُكْمَلُ
أكيس	أَكْيَسَ	يُكْيِسُ	-	-
أل	أَلَّ	يَأَلُّ	أُلَّ	يُؤَلُّ
ألا	أَلَا	يَأْلُو	أُلِيَ	يُؤْلَى
ألبس	أَلْبَسَ	يُلْبِسُ	أُلْبِسَ	يُلْبَسُ
ألبن	أَلْبَنَ	يُؤَلْبِنُ	أُلْبِنَ	يُؤَلْبَنُ
ألجم	أَلْجَمَ	يُلْجِمُ	أُلْجِمَ	يُلْجَمُ
ألح	أَلَحَّ	يُلِحُّ	أُلِحَّ	يُلَحُّ
ألحد	أَلْحَدَ	يُلْحِدُ	-	-
ألحس	أَلْحَسَ	يُلْحِسُ	أُلْحِسَ	يُلْحَسُ
ألحق	أَلْحَقَ	يُلْحِقُ	أُلْحِقَ	يُلْحَقُ
ألزق	أَلْزَقَ	يُلْزِقُ	أُلْزِقَ	يُلْزَقُ
ألزم	أَلْزَمَ	يُلْزِمُ	أُلْزِمَ	يُلْزَمُ
ألصق	أَلْصَقَ	يُلْصِقُ	أُلْصِقَ	يُلْصَقُ
ألعب	أَلْعَبَ	يُلْعِبُ	أُلْعِبَ	يُلْعَبُ
ألغم	أَلْغَمَ	يُلْغِمُ	أُلْغِمَ	يُلْغَمُ
ألغى	أَلْغَى	يُلْغِي	أُلْغِيَ	يُلْغَى
ألف	أَلَّفَ	يُؤَلِّفُ	أُلِّفَ	يُؤَلَّفُ
ألفى	أَلْفَى	يُلْفِي	أُلْفِيَ	يُلْفَى
ألق	أَلَقَ	يَأْلِقُ	-	-
ألقى	أَلْقَى	يُلْقِي	أُلْقِيَ	يُلْقَى
ألم	أَلِمَ	يَأْلَمُ	أُلِمَ	يُؤْلَمُ
ألمح	أَلْمَحَ	يُلْمِحُ	أُلْمِحَ	يُلْمَحُ
ألمن	أَلْمَنَ	يُؤَلْمِنُ	أُلْمِنَ	يُؤَلْمَنُ
أله	أَلَّهَ	يُؤَلِّهُ	أُلِّهَ	يُؤَلَّهُ
ألهم	أَلْهَمَ	يُلْهِمُ	أُلْهِمَ	يُلْهَمُ
ألهى	أَلْهَى	يُلْهِي	أُلْهِيَ	يُلْهَى
أم	أَمَّ	يَؤُمُّ	أُمَّ	يُؤَمُّ
أما	أَمَا	يَأْمُو	-	-
أمات	أَمَاتَ	يُمِيتُ	أُمِيتَ	يُمَاتُ
أماط	أَمَاطَ	يُمِيطُ	أُمِيطَ	يُمَاطُ
أماع	أَمَاعَ	يُمِيعُ	أُمِيعَ	يُمَاعُ
أمال	أَمَالَ	يُمِيلُ	أُمِيلَ	يُمَالُ
أمد	أَمَّدَ	يُؤَمِّدُ	أُمِّدَ	يُؤَمَّدُ
أمر	أَمَّرَ	يُؤَمِّرُ	أُمِّرَ	يُؤَمَّرُ
أمرض	أَمْرَضَ	يُمْرِضُ	أُمْرِضَ	يُمْرَضُ
أمرك	أَمْرَكَ	يُؤَمْرِكُ	أُمْرِكَ	يُؤَمْرَكُ
أمسك	أَمْسَكَ	يُمْسِكُ	أُمْسِكَ	يُمْسَكُ
أمسى	أَمْسَى	يُمْسِي	أُمْسِيَ	يُمْسَى
أمشى	أَمْشَى	يُمْشِي	أُمْشِيَ	يُمْشَى
أمضى	أَمْضَى	يُمْضِي	أُمْضِيَ	يُمْضَى
أمطر	أَمْطَرَ	يُمْطِرُ	أُمْطِرَ	يُمْطَرُ
أمعن	أَمْعَنَ	يُمْعِنُ	أُمْعِنَ	يُمْعَنُ
أمغر	أَمْغَرَ	يُمْغِرُ	أُمْغِرَ	يُمْغَرُ
أمكن	أَمْكَنَ	يُمْكِنُ	أُمْكِنَ	يُمْكَنُ
أمل	أَمَلَّ	يُمِلُّ	أُمِلَّ	يُمَلُّ
أملأ	أَمْلَأَ	يُمْلِئُ	أُمْلِئَ	يُمْلَأُ
أملى	أَمْلَى	يُمْلِي	أُمْلِيَ	يُمْلَى
أمم	أَمَّمَ	يُؤَمِّمُ	أُمِّمَ	يُؤَمَّمُ
أمن	أَمَّنَ	يُؤَمِّنُ	أُمِّنَ	يُؤَمَّنُ
أمنى	أَمْنَى	يُمْنِي	-	-
أمهل	أَمْهَلَ	يُمْهِلُ	أُمْهِلَ	يُمْهَلُ
أمو	أَمُوَ	يَأْمُو	-	-
أمى	أَمَّى	يُؤَمِّي	أُمِّيَ	يُؤَمَّى
أمي	أَمِيَ	يَأْمَى	-	-
أن	أَنَّ	يَئِنُّ	أُنَّ	يُؤَنُّ
أنأى	أَنْأَى	يُنْئِي	أُنْئِيَ	يُنْأَى
أناء	أَنَاءَ	يُنِيءُ	أُنِيءَ	يُنَاءُ
أناب	أَنَابَ	يُنِيبُ	أُنِيبَ	يُنَابُ
أناخ	أَنَاخَ	يُنِيخُ	أُنِيخَ	يُنَاخُ
أنار	أَنَارَ	يُنِيرُ	أُنِيرَ	يُنَارُ
أناط	أَنَاطَ	يُنِيطُ	أُنِيطَ	يُنَاطُ
أناف	أَنَافَ	يُنِيفُ	أُنِيفَ	يُنَافُ
أنام	أَنَامَ	يُنِيمُ	أُنِيمَ	يُنَامُ
أنب	أَنَّبَ	يُؤَنِّبُ	أُنِّبَ	يُؤَنَّبُ
أنبأ	أَنْبَأَ	يُنْبِئُ	أُنْبِئَ	يُنْبَأُ
أنبذ	أَنْبَذَ	يُنْبِذُ	أُنْبِذَ	يُنْبَذُ
أنتج	أَنْتَجَ	يُنْتِجُ	أُنْتِجَ	يُنْتَجُ
أنجب	أَنْجَبَ	يُنْجِبُ	أُنْجِبَ	يُنْجَبُ
أنجح	أَنْجَحَ	يُنْجِحُ	أُنْجِحَ	يُنْجَحُ
أنجد	أَنْجَدَ	يُنْجِدُ	أُنْجِدَ	يُنْجَدُ
أنجز	أَنْجَزَ	يُنْجِزُ	أُنْجِزَ	يُنْجَزُ
أنجس	أَنْجَسَ	يُنْجِسُ	أُنْجِسَ	يُنْجَسُ
أنجم	أَنْجَمَ	يُنْجِمُ	أُنْجِمَ	يُنْجَمُ
أنجى	أَنْجَى	يُنْجِي	أُنْجِيَ	يُنْجَى
أنحل	أَنْحَلَ	يُنْحِلُ	أُنْحِلَ	يُنْحَلُ
أندر	أَنْدَرَ	يُنْدِرُ	أُنْدِرَ	يُنْدَرُ
أنذر	أَنْذَرَ	يُنْذِرُ	أُنْذِرَ	يُنْذَرُ
أنزع	أَنْزَعَ	يُنْزِعُ	أُنْزِعَ	يُنْزَعُ
أنزل	أَنْزَلَ	يُنْزِلُ	أُنْزِلَ	يُنْزَلُ
أنس	أَنَّسَ	يُؤَنِّسُ	أُنِّسَ	يُؤَنَّسُ
أنسى	أَنْسَى	يُنْسِي	أُنْسِيَ	يُنْسَى
أنشأ	أَنْشَأَ	يُنْشِئُ	أُنْشِئَ	يُنْشَأُ
أنشد	أَنْشَدَ	يُنْشِدُ	أُنْشِدَ	يُنْشَدُ
أنشر	أَنْشَرَ	يُنْشِرُ	أُنْشِرَ	يُنْشَرُ
أنصب	أَنْصَبَ	يُنْصِبُ	أُنْصِبَ	يُنْصَبُ
