# lemma	class (uje a i et-i et-eji ne)
odmočit	i
odmořit	i
odmrazit	i
odmršit	i
odmrštit	i
odmuškařit	i
odmyslit	i
odmáčet	et-i
odmýšlet	et-i
odměnit	i
odměřit	i
odnaučit	i
odnosit	i
odnožit	i
odnáboženštit	i
odnárodnit	i
odnášet	et-i
odosobnit	i
odpařit	i
odpažit	i
odpelášit	i
odpečetit	i
odplachtit	i
odplatit	i
odplevelit	i
odplynit	i
odplynout	ne
odplácet	et-i
odplížit	i
odpojit	i
odporazit	i
odporoučet	et-i
odporučit	i
odpotácet	et-i
odpotápět	et-i
odpouštět	et-i
odpovolit	i
odpočinout	ne
odprdelit	i
odprdět	et-i
odprosit	i
odpružit	i
odprášit	i
odprýštit	i
odprůmyslnit	i
odpudit	i
odpustit	i
odpájet	et-i
odpálit	i
odpředbělit	i
odpřednášet	et-i
odpřeložit	i
odpřáhnout	ne
odpřírodnit	i
odrachotit	i
odradit	i
odrandit	i
odrazit	i
odrepetit	i
odrodit	i
odrolit	i
odročit	i
odrušit	i
odrážet	et-i
odrůznit	i
odsadit	i
odsedět	et-i
odskotačit	i
odskočit	i
odslizit	i
odsloužit	i
odsolit	i
odsoudit	i
odsouhlasit	i
odstoupit	i
odstranit	i
odstrašit	i
odstrojit	i
odstrčit	i
odstátnit	i
odstínit	i
odstředit	i
odstřelit	i
odstřílet	et-i
odsunout	ne
odsupět	et-i
odsvědčit	i
odsvětit	i
odsířit	i
odtajit	i
odtajnit	i
odtančit	i
odtemnět	et-i
odtlačit	i
odtlumit	i
odtočit	i
odtrestnit	i
odtroubit	i
odtrpět	et-i
odtrubnit	i
odtučnit	i
odtušit	i
