# lemma	class (uje a i et-i et-eji ne)
ztemnit	i
ztemnět	et-i
ztenčit	i
zteplit	i
ztesklivět	et-i
ztesknit	i
ztesknět	et-i
zteřet	et-i
ztisíceronásobnit	i
ztitěrnit	i
ztitěrnět	et-i
ztišit	i
ztklivět	et-i
ztlumočit	i
ztluštět	et-i
ztmavět	et-i
ztonout	ne
ztopornit	i
ztopornět	et-i
ztopořit	i
ztotožnit	i
ztoužnět	et-i
ztovárnit	i
ztradičnět	et-i
ztragičtět	et-i
ztrapnit	i
ztratit	i
ztriviálnět	et-i
ztrmácet	et-i
ztrnout	ne
ztrojit	i
ztrojmocnit	i
ztrojnásobnit	i
ztrojčit	i
ztrouchnivět	et-i
ztrouchnět	et-i
ztroudnatět	et-i
ztroudovatět	et-i
ztroškařit	i
ztrpčet	et-i
ztrpčit	i
ztruchlit	i
ztruchlivět	et-i
ztrudit	i
ztrudnit	i
ztrudnomyslnět	et-i
ztrudnět	et-i
ztrupelnatět	et-i
ztrvalit	i
ztrácet	et-i
ztrápit	i
ztrávit	i
ztrýznit	i
ztulačit	i
ztumpachovatět	et-i
ztumpachovět	et-i
ztupět	et-i
ztučnit	i
ztučnět	et-i
ztužit	i
ztvarohovatět	et-i
ztvarovět	et-i
ztvrdit	i
ztvrdohlavět	et-i
ztvárnit	i
ztvárnět	et-i
ztyřet	et-i
ztápět	et-i
ztátovatět	et-i
ztížet	et-i
ztížit	i
ztýřet	et-i
ztěhotnět	et-i
ztělesnit	i
ztělesnět	et-i
ztělnatět	et-i
ztěsnit	i
ztěžkomyslnět	et-i
ztěžkopádnět	et-i
ztřaslavět	et-i
ztřeslavět	et-i
ztřeštit	i
ztřásnit	i
ztřísnit	i
ztříštit	i
zubatit	i
zubatět	et-i
zubožet	et-i
zubožit	i
zuctivět	et-i
zudatnět	et-i
zuhelnatit	i
zuhelnatět	et-i
zuhelnit	i
zuhelnět	et-i
zuhličit	i
zuhlovatět	et-i
zuklízet	et-i
zukrutnět	et-i
zumělečtit	i
zumělečtět	et-i
zunčet	et-i
zunět	et-i
zupřímnět	et-i
zurputnět	et-i
zurážet	et-i
zurčet	et-i
zurčitět	et-i
zusnášet	et-i
zutrmácet	et-i
zutrácet	et-i
zutvářet	et-i
zutápět	et-i
zuzlit	i
zuzlovatět	et-i
zuřit	i
zušlechtit	i
zvalašit	i
zvarhanit	i
zvarhanovatět	et-i
zvarhanět	et-i
zvarhánkovatět	et-i
zvejřit	i
zvelebnit	i
zveličet	et-i
zveličit	i
zvelkoměštět	et-i
zvelkoměšťáčtět	et-i
zvenkovatět	et-i
zvenkovštět	et-i
zveselit	i
zvetit	i
zvetšet	et-i
zveřejnit	i
zveřejnoprávnit	i
zveřejnět	et-i
zvichřit	i
zviditelnit	i
zviditelnět	et-i
zvidět	et-i
zvinit	i
zvlastenčit	i
zvlažit	i
zvlažnět	et-i
zvlhčit	i
zvlnit	i
zvločkovatět	et-i
zvláknit	i
zvláknět	et-i
zvláčet	et-i
zvláčkovatět	et-i
zvláčnit	i
zvláčnět	et-i
zvlídnit	i
zvlídnět	et-i
zvlčit	i
zvniternit	i
zvniternět	et-i
zvnitřnit	i
zvnitřnět	et-i
zvnějšnit	i
zvodit	i
zvodnatět	et-i
zvodnit	i
zvolit	i
zvolnit	i
zvonit	i
zvoskovatět	et-i
zvostudit	i
zvousatět	et-i
zvošklivět	et-i
zvrabčit	i
zvracet	et-i
zvraždit	i
zvrcholit	i
zvroubit	i
zvroucnit	i
zvroucnět	et-i
zvrstvit	i
zvrtačit	i
zvrtohlavět	et-i
zvrtošit	i
zvráskovatět	et-i
zvrásnit	i
zvrásčit	i
zvrátit	i
zvráštit	i
zvráštět	et-i
zvráščit	i
zvršit	i
zvulgárnit	i
zvulgárnět	et-i
zvunčet	et-i
zvučet	et-i
zvučit	i
zvyházet	et-i
zvymýšlet	et-i
zvyrážet	et-i
zvyvracet	et-i
zvyvrátit	i
zvzácnět	et-i
zvábit	i
zváhavět	et-i
zválet	et-i
zvápenatět	et-i
zvápenět	et-i
zvápnit	i
zvápnět	et-i
zvášnit	i
zvášnivět	et-i
zvážit	i
zvážnit	i
zvážnět	et-i
zvířit	i
zvýbušnit	i
zvýhodnit	i
zvýmluvnět	et-i
zvýnosnit	i
zvýraznit	i
zvýraznět	et-i
zvýtvarnit	i
zvýznamnit	i
zvýznamnět	et-i
zvýšit	i
zvěcnit	i
zvěcnět	et-i
zvědečtit	i
zvědečtět	et-i
zvědomit	i
zvěnčit	i
zvěsit	i
zvěstit	i
zvětvit	i
zvětřet	et-i
zvětřit	i
zvětšit	i
zvěčnit	i
zvěčnět	et-i
zvěšet	et-i
zvředovatět	et-i
zvšednět	et-i
zábránit	i
záletničit	i
záležet	et-i
zámečničit	i
zápasit	i
zápolit	i
závidět	et-i
záviset	et-i
závodit	i
závozničit	i
zázračit	i
zářit	i
zářivět	et-i
záškodničit	i
zúplnit	i
zúpornět	et-i
zúpět	et-i
zúrodnit	i
zúrodnět	et-i
zúročit	i
zúskostnit	i
zúspornit	i
zústavnit	i
zútlet	et-i
zútlit	i
zútulnit	i
zútulnět	et-i
zúzkostlivět	et-i
zúzkostnit	i
zúzkostnět	et-i
zúčastnit	i
zúčelnit	i
zúředničit	i
zúředničtit	i
zúřednět	et-i
zúžit	i
zčasovět	et-i
zčepejřit	i
zčepýřit	i
zčernit	i
zčernět	et-i
zčerstvět	et-i
zčervavět	et-i
zčervenit	i
zčervenět	et-i
zčervivět	et-i
zčeřit	i
zčeštit	i
zčinit	i
zčipernět	et-i
zčistit	i
zčitelnit	i
zčlověčtit	i
zčtyrnásobit	i
zďábelštět	et-i
zňátřit	i
zřasit	i
zřasnatět	et-i
zředit	i
zřemeslnit	i
zřepovatět	et-i
zřečnit	i
zřečtit	i
zřeřavět	et-i
zřežavět	et-i
zřásnit	i
zřídit	i
zřímanit	i
zřítit	i
zšedivět	et-i
zšeredit	i
zšerednět	et-i
zšeřit	i
zšišatět	et-i
zšlechtit	i
zšosatět	et-i
zšosáčtět	et-i
zšílet	et-i
zželet	et-i
zženit	i
zženštit	i
zženštět	et-i
zžidovatět	et-i
zživelnit	i
zživotnit	i
zživět	et-i
zžulovatět	et-i
úchylkařit	i
úderničit	i
úhořit	i
úplatkařit	i
úpět	et-i
úrodnit	i
úročit	i
ústit	i
ústupkařit	i
útočit	i
úvodníkařit	i
úzkostlivět	et-i
účastnit	i
úředničit	i
úžit	i
čachrařit	i
čadit	i
čalounit	i
čapět	et-i
časit	i
častit	i
čelit	i
čemejřit	i
čemelit	i
čepejřit	i
čepýřit	i
černit	i
čertit	i
červavět	et-i
červenit	i
červenět	et-i
červivět	et-i
čeřit	i
češtit	i
činit	i
čistit	i
čiřinčet	et-i
čiřit	i
čišet	et-i
členit	i
čmelit	i
čmoudit	i
čmudit	i
čoudit	i
čpavkovatět	et-i
čpět	et-i
čtveračit	i
čtvrtit	i
čubrnět	et-i
čudit	i
čumět	et-i
čučet	et-i
čuřit	i
čílit	i
čířit	i
ňahňat	a
ňuchňat	a
ňuhňat	a
ňuňat	a
řadit	i
řasit	i
řasnatět	et-i
ředit	i
řehnit	i
řeholit	i
řehonit	i
řemeslnit	i
řemeslničit	i
řemeslnět	et-i
řepařit	i
řetězit	i
řevnit	i
řezbařit	i
řezničit	i
řečit	i
řečnit	i
řeřavět	et-i
řešit	i
řežavět	et-i
řinout	ne
řinčet	et-i
řičet	et-i
řádit	i
řáholit	i
řáhonit	i
řásnit	i
řídit	i
říjet	et-i
řítit	i
šantročit	i
šarapatit	i
šatit	i
šedavět	et-i
šedivět	et-i
šelestit	i
šeredit	i
šerednět	et-i
šetřit	i
ševelit	i
šeřit	i
šidit	i
šinout	ne
šišatět	et-i
škaredit	i
škaredět	et-i
šklíbit	i
škodit	i
školařit	i
školit	i
školkařit	i
školničit	i
škorpit	i
škotit	i
škraloupovatět	et-i
škrdlit	i
škrobovatět	et-i
škrtit	i
škudlit	i
škvařit	i
škvrnit	i
škvířit	i
škádlit	i
šlechtit	i
šmejdit	i
šmelinařit	i
šmelit	i
šmrdolit	i
šmírařit	i
šosatět	et-i
špatnět	et-i
špejlit	i
špendlit	i
špidlovatět	et-i
špinavět	et-i
špinit	i
špičatit	i
špičatět	et-i
špoulit	i
šprechtit	i
šprýmařit	i
špulit	i
šramotit	i
šrotit	i
štíhlet	et-i
štítit	i
štířit	i
štěpařit	i
štětit	i
šubelit	i
šulit	i
šumařit	i
šumět	et-i
šupajdit	i
šupinatit	i
šupinatět	et-i
šupinkovatět	et-i
šustit	i
švadlenit	i
švadlenčit	i
švadronit	i
šveholit	i
švejkařit	i
švitořit	i
švýcařit	i
šálit	i
šílet	et-i
šířit	i
šňořit	i
šťavnatět	et-i
žabařit	i
žadonit	i
žalostit	i
žalostnit	i
žalářit	i
žblabolit	i
žblabonit	i
žblabunit	i
žebronit	i
žedit	i
žehlit	i
želet	et-i
želírovatět	et-i
ženit	i
ženštět	et-i
žeravět	et-i
žhavět	et-i
žhnout	ne
žihlit	i
žilnatět	et-i
žinčet	et-i
živnostničit	i
živořit	i
žlutavět	et-i
žlutit	i
žmolkovatět	et-i
žnout	ne
žudlařit	i
žulit	i
žulovatět	et-i
žvanit	i
žárlit	i
žíznit	i
