# lemma(infinitive)	V;NFIN	V;IND;PRS;SG;1	V;IND;PRS;SG;2	V;IND;PRS;SG;3	V;IND;PRS;PL;1	V;IND;PRS;PL;2	V;IND;PRS;PL;3	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PST
entschlofen	-	-	entschléifs	entschléift	-	entschlooft	-	-	entschlooft	entschlof
entschléissen	-	-	-	-	-	-	-	-	-	entschloss
entsetzen	-	-	-	-	-	-	-	-	-	entsat
entspriechen	-	-	entspréchs	entsprécht	-	-	-	-	-	entsprach
entstoen	-	-	-	-	-	-	-	-	-	entstan
entwerfen	-	-	-	-	-	-	-	-	-	entworf
erabréngen	-	-	-	-	-	-	-	-	-	erabruecht
erafeieren	-	-	-	-	-	-	-	-	-	eragefeiert
erakommen	-	-	-	-	-	-	-	-	-	erakomm
eraleeën	-	-	-	-	-	-	-	-	-	ërageluecht
eraschloen	-	-	-	-	-	-	-	-	-	erageschloen
erausgeheien	-	-	-	-	-	-	-	-	-	gëerausgeheit
erausschécken	-	-	-	-	-	-	-	-	-	erausgeschéckt
erauswerfen	-	-	-	-	-	-	-	-	-	eraugeworf
erfréieren	-	-	-	-	-	-	-	-	-	erfruer
erfueren	-	-	erfiers	erfiert	-	-	-	-	-	erfuer
ergräifen	-	-	-	-	-	-	-	-	-	ergraff
erkennen	-	-	-	-	-	-	-	-	-	erkannt
erlaben	-	-	erlaabs	erlaabt	-	erlaabt	-	-	erlaabt	erlaabt
ernennen	-	-	-	-	-	-	-	-	-	ernannt
eroffalen	-	-	-	-	-	-	-	-	-	erofgefall
erofkommen	-	-	-	-	-	-	-	-	-	erofkomm
eroflueden	-	-	-	-	-	-	-	-	-	erofgelueden
erofschneiden	-	-	-	-	-	-	-	-	-	erofgeschnidden
erofsetzen	-	-	-	-	-	-	-	-	-	erofgesat
erofspillen	-	-	-	-	-	-	-	-	-	erofgespillt
eropkommen	-	-	-	-	-	-	-	-	-	eropkomm
eropsetzen	-	-	-	-	-	-	-	-	-	eropgesat
erschéissen	-	-	-	-	-	-	-	-	-	erschoss
ersetzen	-	-	-	-	-	-	-	-	-	ersat
erwaarden	-	-	erwaarts	erwaart	-	erwaart	-	erwaart	erwaart	erwaart
erzéien	-	-	erzitts	erzitt	-	-	-	-	-	erzunn
erëmgesinn	erëmgesinn	-	-	-	-	-	-	-	-	erëmgesinn
erëmgewannen	-	-	-	-	-	-	-	-	-	erëmgewonnen
erëmkafen	-	-	-	-	-	-	-	-	-	erëmkaaft
excitéieren	-	-	-	-	-	-	-	-	-	éxcitéiert
falen	-	-	faals	faalt	-	faalt	-	-	faalt	gefaalt
fannen	-	-	fënns	fënnt	-	-	-	-	-	fonnt
festsetzen	-	-	-	-	-	-	-	-	-	festgesat
feststellen	-	-	-	-	-	-	-	-	-	festgestallt
fierwen	-	-	fierfs	fierft	-	fierft	-	fierf	fierft	gefierft
fläissen	-	-	-	-	-	-	-	-	-	geflass
fléien	-	-	flitts	flitt	-	flitt	-	-	flitt	geflunn
fléissen	-	-	-	-	-	-	-	-	-	gefloss
freien	-	-	-	-	-	-	-	-	-	gefrien
frieden	-	-	friets	friet	-	friet	-	friet	friet	gefrueden
friessen	-	-	frëss	frësst	-	-	-	-	-	gefriess
froen	-	-	frees	freet	-	-	-	-	-	-
fräikafen	-	-	-	-	-	-	-	-	-	fräikaaft
fréieren	-	-	-	-	-	-	-	-	-	gefruer
fueren	-	-	fiers	fiert	-	-	-	-	-	gefuer
fäerten	-	-	-	-	-	-	-	-	-	gefaart
fänken	-	-	-	-	-	-	-	-	-	gefaang
féieren	-	-	-	-	-	-	-	-	-	geféiert
gecksen	-	-	-	-	-	-	-	-	-	gegeckst
gedenken	-	-	-	-	-	-	-	-	-	geduecht
geeschteren	-	-	-	-	-	-	-	-	-	gegeeschtert
gefalen	-	-	gefäls	gefält	-	gefaalt	-	-	gefaalt	gefall
geheien	-	-	gehäis	gehäit	-	-	-	-	-	gehäit
geien	-	-	-	-	-	-	-	-	-	gegeit
geléngen	-	-	-	-	-	-	-	-	-	gelongen
genéissen	-	-	-	-	-	-	-	-	-	genoss
geroden	-	-	geréits	geréit	-	gerot	-	gerot	gerot	geroden
geschéien	-	-	-	-	-	-	-	-	-	geschitt
gesinn	gesinn	gesinn	gesäis	gesäit	gesinn	gesitt	gesinn	geséi	gesitt	gesinn
gewannen	-	-	gewënns	gewënnt	-	-	-	-	-	gewonnen
gierwen	-	-	gierfs	gierft	-	gierft	-	gierf	gierft	gegierft
ginn	ginn	ginn	gëss	gëtt	ginn	gitt	ginn	gëff	gitt	ginn
gleewen	-	-	gleefs	gleeft	-	gleeft	-	gleef	gleeft	gegleeft
