# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PRS	V.PTCP;PST	V;NFIN
געווינען	-	-	-	-	-	-	-	-	-	געוווּנען	-
געטרויען	געטרוי	געטרויסט	געטרויט	-	געטרויט	-	געטרוי	געטרויט	-	געטרויט	-
געלינגען	-	-	-	-	-	-	-	-	-	געלונגען	-
געניסן	-	-	-	-	-	-	-	-	-	גענאָסן	-
געניצן	-	-	-	-	-	-	-	-	-	געגעניצט	-
געפֿינען	-	-	-	-	-	-	-	-	-	געפֿונען	-
געפֿעלן	-	-	-	-	-	-	-	-	-	געפֿעלן	-
גערימאַנדרעווען	-	-	-	-	-	-	-	-	-	געגערימאַנדרעוועט	-
געשען	-	-	-	געשעען	-	געשעען	-	-	געשעענדיק	געשען	-
גראָבן	-	-	-	-	-	-	-	-	-	געגראָבן	-
גרינדן	-	-	גרינדט	-	גרינדט	-	-	גרינדט	-	געגרינדעט	-
גײַסענען	-	-	-	-	-	-	-	-	-	געגײַסנט	-
דאַכטן	-	-	-	-	-	-	-	-	-	געדאַכט	-
דאַנקען	דאַנק	דאַנקסט	דאַנקט	-	דאַנקט	-	דאַנק	דאַנקט	-	געדאַנקט	-
דאַרפֿן	-	-	דאַרף	-	-	-	-	-	-	-	-
דורכזען	-	-	-	-	-	-	-	-	דורכזעענדיק	דורכגעזען	-
דורכפֿאַלן	-	-	-	-	-	-	-	-	דורךפֿאַלנדיק	דורכגעפֿאַלן	-
דורכקומען	-	-	-	-	-	-	-	-	-	דורכגעקומען	-
דורכרײַסן	-	-	-	-	-	-	-	-	-	דורכגעריסן	-
דורכשטראַלן	-	-	-	-	-	-	-	-	-	דורכגעשטראַלט	-
דורכשמועסן	-	-	-	-	-	-	-	-	-	דורכגעשמועסט	-
דינגען	-	-	-	-	-	-	-	-	-	געדונגען	-
דיסאָציִיִרן	-	-	-	-	-	-	-	-	-	דיסאָציִיִרט	-
דיסקאָנטירן	-	-	-	-	-	-	-	-	-	דיסקאָנטירט	-
דעמאָקראַטיזירן	-	-	-	-	-	-	-	-	-	דעמאָקראַטיזירט	-
דענקען	דענק	דענקסט	דענקט	-	דענקט	-	דענק	דענקט	-	געדענקט	-
דעפּאָרטירן	-	-	-	-	-	-	-	-	-	דעפּאָרטירט	-
דעפּעשירן	-	-	-	-	-	-	-	-	-	דעפּעשירט	-
דערוואַרטן	-	-	-	-	-	-	-	-	-	דערוואַרט	-
דערוויסן	-	-	-	-	-	-	-	-	-	דערוווּסט	-
דערטרינקען	דערטרינק	דערטרינקסט	דערטרינקט	-	דערטרינקט	-	דערטרינק	דערטרינקט	-	דערטרונקען	-
דערעסן	-	-	-	-	-	-	-	-	-	דערעסן	-
דערפֿילן	-	-	-	-	-	-	-	-	-	געדערפֿילט	-
דערציִען	דערצי	דערציסט	דערציט	-	דערציט	-	דערצי	דערציט	-	דערצויגן	-
דערשרעקן	-	-	-	-	-	-	-	-	-	דערשראָקן	-
דעשיפֿרירן	-	-	-	-	-	-	-	-	-	דעשיפֿרירט	-
דרייען	דריי	דרייסט	דרייט	-	דרייט	-	דריי	דרייט	-	געדרייט	-
דרינגען	-	-	-	-	-	-	-	-	-	געדרונגען	-
דרעשן	-	-	-	-	-	-	-	-	-	געדראָשן	-
דרשענען	דרשן	דרשנסט	דרשנט	-	דרשנט	-	דרשן	דרשנט	-	געדרשנט	-
האַווען	האַוו	האַווסט	האַווט	-	האַווט	-	האַוו	האַווט	-	געהאַווט	-
האַלטן	-	-	-	-	-	-	-	-	-	געהאַלטן	-
האָבן	-	האָסט	האָט	-	האָט	-	-	האָט	-	געהאַט	-
האָרעווען	האָרעוו	האָרעווסט	האָרעווט	-	האָרעווט	-	האָרעוו	האָרעווט	-	-	-
הויבן	-	-	-	-	-	-	-	-	-	געהויבן	-
היטן	-	-	-	-	-	-	-	-	-	געהיט	-
הייבן	-	-	-	-	-	-	-	-	-	געהויבן	-
הייסן	-	-	-	-	-	-	-	-	-	געהייסן	-
הינקען	הינק	הינקסט	הינקט	-	הינקט	-	הינק	הינקט	-	געהונקען	-
העלפֿן	-	-	-	-	-	-	-	-	-	געהאָלפֿן	-
הענגען	-	-	-	-	-	-	-	-	-	געהאַנגען	-
העפֿטן	-	-	-	-	-	-	-	-	-	געהאָפֿטן	-
הרגענען	הרגע	הרגעסט	הרגעט	-	הרגעט	-	הרגע	הרגעט	הרגענדיק	געהרגעט	-
וואַלצן	-	וואַלצט	-	-	-	-	-	-	-	-	-
וואַקסן	-	-	-	-	-	-	-	-	-	געוואַקסן	-
וואַרגן	-	-	-	-	-	-	-	-	-	געוואָרגן	-
וואַרטן	-	-	-	-	-	-	-	-	-	געוואַרט	-
וואַרפֿן	-	-	-	-	-	-	-	-	-	געוואָרפֿן	-
וואַשן	-	-	-	-	-	-	-	-	-	געוואַשן	-
