# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
imdheaghail	imdheaghlann	imdheaghail	imdheaghlfaidh	imdheaghail	imdheaghalta	-	imdheaghlaigí	imdheaghltar
imdhearg	-	-	-	-	imdheargtha	-	-	-
imdheighil	imdheighleann	imdheighil	imdheighlfidh	imdheighilt	imdheighilte	-	imdheighligí	imdheighltear
imdhruid	-	-	imdhruidfidh	imdhruidim	-	-	-	-
imdháil	-	-	imdháilfidh	-	-	-	-	-
imeaglaigh	-	-	imeaglóidh	-	-	-	-	-
imeasc	-	-	-	-	imeasctha	-	-	-
imghabh	-	-	-	imghabháil	imghafa	-	-	-
imigh	-	-	imeoidh	imeacht	-	-	-	-
imir	imríonn	imir	imreoidh	imirt	imeartha	-	imrígí	imrítear
imirc	-	-	imircfidh	-	imircthe	-	-	-
imloisc	-	-	imloiscfidh	imloscadh	imloiscthe	-	-	-
imlínigh	-	-	imlíneoidh	-	-	-	-	-
imoibrigh	-	-	imoibreoidh	-	-	-	-	-
imphléasc	-	-	-	-	imphléasctha	-	-	-
impigh	-	-	impeoidh	impí	-	-	-	-
imréitigh	-	-	-	imréiteach	-	-	-	-
imscaoil	-	-	imscaoilfidh	-	-	-	-	-
imscar	-	-	-	-	imscartha	-	-	-
imscríobh	-	-	-	imscríobh	imscríofa	-	-	-
imshuigh	-	-	imshuífidh	imshuí	imshuite	-	-	imshuitear
imthairg	-	-	imthairgfidh	imthairiscint	imthairgthe	-	-	-
imtharraing	imtharraingíonn	imtharraing	imtharraingeoidh	imtharraingt	imtharraingthe	-	imtharraingígí	imtharraingítear
imtheorannaigh	-	-	imtheorannóidh	-	-	-	-	-
imthnúth	-	-	-	imthnúth	imthnúite	-	-	imthnútar
imthreascair	imthreascraíonn	imthreascair	imthreascróidh	imthreascairt	imthreascartha	-	imthreascraígí	imthreascraítear
infhill	-	-	infhillfidh	-	-	-	-	-
inghreim	-	-	inghreimfidh	inghreim	inghreimthe	-	-	-
iniaigh	iniann	iniaigh	iniafaidh	iniamh	iniata	-	iniaigí	iniatar
inigh	-	-	-	hiniú	hinithe	-	-	-
inis	insíonn	inis	inseoidh	insint	inste	-	insígí	insítear
inleag	-	-	-	inleagan	inleagtha	-	-	-
inneallfhuaigh	inneallfhuann	inneallfhuaigh	inneallfhuafaidh	inneallfhuáil	inneallfhuaite	-	inneallfhuaigí	inneallfhuaitear
innill	inlíonn	innill	inleoidh	inleadh	innealta	-	-	-
inphléasc	-	-	-	-	inphléasctha	-	-	-
insamhail	insamhlaíonn	insamhail	insamhlóidh	insamhladh	insamhailte	-	insamhlaígí	insamhlaítear
inscríobh	-	-	-	inscríobh	inscríofa	-	-	-
insil	-	-	insilfidh	-	-	-	-	-
insuigh	-	-	insuífidh	insuí	insuite	-	-	insuitear
iodráitigh	-	-	-	hiodráitiú	hiodráitithe	-	-	-
iolraigh	-	-	iolróidh	-	-	-	-	-
iomair	iomraíonn	iomair	iomróidh	iomramh	iomartha	-	iomraígí	iomraítear
iomardaigh	-	-	iomardóidh	-	-	-	-	-
iombháigh	iombhánn	iombháigh	iombháfaidh	iombhá	iombháite	-	iombháigí	iombháitear
iomlaisc	iomlascann	iomlaisc	iomlascfaidh	iomlasc	iomlasctha	-	iomlascaigí	iomlasctar
iomluaigh	iomluann	iomluaigh	iomluafaidh	iomlua	iomluaite	-	iomluaigí	iomluaitear
iompaigh	-	-	iompóidh	-	-	-	-	-
iompair	iompraíonn	iompair	iompróidh	iompar	iompartha	-	iompraígí	iompraítear
iompórtáil	iompórtálann	iompórtáil	iompórtálfaidh	iompórtáil	iompórtáilte	-	iompórtálaigí	iompórtáiltear
iomráidh	-	-	iomráidhfidh	iomrádh	-	-	-	-
iomáin	-	-	iomáinfidh	iomáint	-	-	-	-
ionadaigh	-	-	ionadóidh	-	-	-	-	-
ionchuir	-	-	ionchuirfidh	ionchur	ionchurtha	-	-	-
ionchúisigh	-	-	-	ionchúiseamh	-	-	-	-
ionfhabhtaigh	-	-	ionfhabhtóidh	-	-	-	-	-
ionghabh	-	-	-	ionghabháil	ionghafa	-	-	-
ionghair	-	-	ionghairfidh	ionghaire	ionghairthe	-	-	-
ionnail	ionlann	ionnail	ionnalfaidh	ionladh	ionnalta	-	ionlaigí	ionnaltar
ionnarb	-	-	-	-	ionnarbtha	-	-	-
ionramháil	ionramhálann	ionramháil	ionramhálfaidh	ionramháil	ionramháilte	-	ionramhálaigí	ionramháiltear
ionsaigh	-	-	ionsóidh	ionsaí	-	-	-	-
ionsuigh	-	-	ionsuífidh	ionsuí	ionsuite	-	-	ionsuitear
ionsáigh	ionsánn	ionsáigh	ionsáfaidh	ionsá	ionsáite	-	ionsáigí	ionsáitear
ionsúigh	ionsúnn	ionsúigh	ionsúfaidh	ionsú	ionsúite	-	ionsúigí	ionsúitear
iontaisigh	-	-	iontaiseoidh	-	-	-	-	-
iontráil	iontrálann	iontráil	iontrálfaidh	iontráil	iontráilte	-	iontrálaigí	iontráiltear
iopnóisigh	-	-	-	hiopnóisiú	hiopnóisithe	-	-	-
ith	-	-	íosfaidh	ithe	ite	-	-	itear
jeaimeáil	jeaimeálann	jeaimeáil	jeaimeálfaidh	jeaimeáil	jeaimeáilte	-	jeaimeálaigí	jeaimeáiltear
jeidhbeáil	jeidhbeálann	jeidhbeáil	jeidhbeálfaidh	jeidhbeáil	jeidhbeáilte	-	jeidhbeálaigí	jeidhbeáiltear
labhair	labhraíonn	labhair	labhróidh	labhairt	labhartha	-	labhraígí	labhraítear
labáil	labálann	labáil	labálfaidh	labáil	labáilte	-	labálaigí	labáiltear
laghdaigh	-	-	laghdóidh	-	-	-	-	-
lainseáil	lainseálann	lainseáil	lainseálfaidh	lainseáil	lainseáilte	-	lainseálaigí	lainseáiltear
lamháil	lamhálann	lamháil	lamhálfaidh	lamháil	lamháilte	-	lamhálaigí	lamháiltear
lannaigh	-	-	lannóidh	-	-	-	-	-
laobh	-	-	-	-	laofa	-	-	-
laoidh	-	-	laoidhfidh	-	-	-	-	-
lasc	-	-	-	-	lasctha	-	-	-
lastáil	lastálann	lastáil	lastálfaidh	lastáil	lastáilte	-	lastálaigí	lastáiltear
leabaigh	-	-	leabóidh	-	-	-	-	-
leabharmharcáil	leabharmharcálann	leabharmharcáil	leabharmharcálfaidh	leabharmharcáil	leabharmharcáilte	-	leabharmharcálaigí	leabharmharcáiltear
leadair	leadraíonn	leadair	leadróidh	leadradh	leadartha	-	leadraígí	leadraítear
leadhb	-	-	-	-	leadhbtha	-	-	-
leadhbair	leadhbraíonn	leadhbair	leadhbróidh	leadhbairt	leadhbartha	-	leadhbraígí	leadhbraítear
leadráil	leadrálann	leadráil	leadrálfaidh	leadráil	leadráilte	-	leadrálaigí	leadráiltear
leag	-	-	-	leagan	leagtha	-	-	-
leaindeáil	leaindeálann	leaindeáil	leaindeálfaidh	leaindeáil	leaindeáilte	-	leaindeálaigí	leaindeáiltear
leamh	-	-	-	-	leafa	-	-	-
lean	-	-	-	leanúint	-	-	-	-
leang	-	-	-	-	leangtha	-	-	-
leasaigh	-	-	leasóidh	-	-	-	-	-
leath	-	-	-	-	leata	-	-	leatar
leathnaigh	-	-	leathnóidh	-	-	-	-	-
leictreachlóigh	leictreachlónn	leictreachlóigh	leictreachlófaidh	leictreachló	leictreachlóite	-	leictreachlóigí	leictreachlóitear
leictreaphlátáil	leictreaphlátálann	leictreaphlátáil	leictreaphlátálfaidh	leictreaphlátáil	leictreaphlátáilte	-	leictreaphlátálaigí	leictreaphlátáiltear
leigheas	-	-	-	leigheas	-	-	-	-
leithdháil	-	-	leithdháilfidh	-	-	-	-	-
leithghabh	-	-	-	leithghabháil	leithghafa	-	-	-
leithroinn	-	-	leithroinnfidh	leithroinnt	-	-	-	-
leithscar	-	-	-	-	leithscartha	-	-	-
leoidh	-	-	leoidhfidh	leodh	-	-	-	-
leomh	-	-	-	-	leofa	-	-	-
leáigh	leánn	leáigh	leáfaidh	leá	leáite	-	leáigí	leáitear
liath	-	-	-	-	liata	-	-	liatar
lig	-	-	ligfidh	ligean	ligthe	-	-	-
ligh	-	-	lífidh	lí	lite	-	-	litear
ling	-	-	lingfidh	-	lingthe	-	-	-
linseáil	linseálann	linseáil	linseálfaidh	linseáil	linseáilte	-	linseálaigí	linseáiltear
liobair	liobraíonn	liobair	liobróidh	liobairt	liobartha	-	liobraígí	liobraítear
liostáil	liostálann	liostáil	liostálfaidh	liostáil	liostáilte	-	liostálaigí	liostáiltear
liteagraf	-	-	liteagrafaidh	-	liteagrafa	-	-	-
litrigh	-	-	litreoidh	-	-	-	-	-
liúdráil	liúdrálann	liúdráil	liúdrálfaidh	liúdráil	liúdráilte	-	liúdrálaigí	liúdráiltear
liúigh	liúnn	liúigh	liúfaidh	liú	liúite	-	liúigí	liúitear
liúr	-	-	-	-	liúrtha	-	-	-
lobh	-	-	-	-	lofa	-	-	-
loc	-	-	-	-	loctha	-	-	-
locair	locraíonn	locair	locróidh	locrú	locraithe	-	locraígí	locraítear
lochair	lochraíonn	lochair	lochróidh	lochradh	lochartha	-	lochraígí	lochraítear
locáil	locálann	locáil	locálfaidh	locáil	locáilte	-	locálaigí	locáiltear
lodair	lodraíonn	lodair	lodróidh	lodairt	lodartha	-	lodraígí	lodraítear
logh	-	-	-	-	loghtha	-	-	-
logáil	logálann	logáil	logálfaidh	logáil	logáilte	-	logálaigí	logáiltear
loic	-	-	loicfidh	-	loicthe	-	-	-
loisc	-	-	loiscfidh	loscadh	loiscthe	-	-	-
loit	-	-	loitfidh	lot	loite	-	-	loitear
lom	-	-	-	-	lomtha	-	-	-
lomair	lomraíonn	lomair	lomróidh	lomairt	lomartha	-	lomraígí	lomraítear
long	-	-	-	-	longtha	-	-	-
lonnaigh	-	-	lonnóidh	-	-	-	-	-
lorg	lorgaíonn	lorg	lorgóidh	lorg	lorgtha	-	lorgaígí	lorgaítear
luacháil	luachálann	luacháil	luachálfaidh	luacháil	luacháilte	-	luachálaigí	luacháiltear
luaidh	-	-	luaidhfidh	luadh	-	-	-	-
luaigh	luann	luaigh	luafaidh	lua	luaite	-	luaigí	luaitear
luainigh	-	-	luaineoidh	-	-	-	-	-
luasc	-	-	-	-	luasctha	-	-	-
luascáil	luascálann	luascáil	luascálfaidh	luascáil	luascáilte	-	luascálaigí	luascáiltear
luathaigh	-	-	luathóidh	-	-	-	-	-
luathbhruith	-	-	luathbhruithfidh	luathbhruith	luathbhruite	-	-	luathbhruitear
luchtaigh	-	-	luchtóidh	-	-	-	-	-
lufáil	lufálann	lufáil	lufálfaidh	lufáil	lufáilte	-	lufálaigí	lufáiltear
luigh	-	-	luífidh	luí	luite	-	-	luitear
ládáil	ládálann	ládáil	ládálfaidh	ládáil	ládáilte	-	ládálaigí	ládáiltear
láib	-	-	láibfidh	-	láibthe	-	-	-
láigh	lánn	láigh	láfaidh	láchan	láite	-	láigí	láitear
láimhseáil	láimhseálann	láimhseáil	láimhseálfaidh	láimhseáil	láimhseáilte	-	láimhseálaigí	láimhseáiltear
láist	-	-	láistfidh	-	láiste	-	-	láistear
lámhach	-	-	-	lámhach	-	-	-	-
lámhaigh	-	-	lámhóidh	-	-	-	-	-
lámhchniotáil	lámhchniotálann	lámhchniotáil	lámhchniotálfaidh	lámhchniotáil	lámhchniotáilte	-	lámhchniotálaigí	lámhchniotáiltear
lámhfhuaigh	lámhfhuann	lámhfhuaigh	lámhfhuafaidh	lámhfhuáil	lámhfhuaite	-	lámhfhuaigí	lámhfhuaitear
lámhscaoil	-	-	lámhscaoilfidh	-	-	-	-	-
lánscoir	-	-	lánscoirfidh	lánscor	lánscortha	-	-	-
lánseiceáil	lánseiceálann	lánseiceáil	lánseiceálfaidh	lánseiceáil	lánseiceáilte	-	lánseiceálaigí	lánseiceáiltear
lásáil	lásálann	lásáil	lásálfaidh	lásáil	lásáilte	-	lásálaigí	lásáiltear
léasaigh	-	-	léasóidh	-	-	-	-	-
léigh	léann	léigh	léifidh	léamh	léite	-	léigí	léitear
léim	-	-	léimfidh	léim	léimthe	-	-	-
léirghoin	-	-	léirghoinfidh	léirghoin	léirghonta	-	-	-
léirigh	-	-	léireoidh	-	-	-	-	-
léirscrios	-	-	-	léirscrios	-	-	-	-
léirscríobh	-	-	-	léirscríobh	léirscríofa	-	-	-
léirsmaoinigh	-	-	-	léirsmaoineamh	-	-	-	-
líneáil	líneálann	líneáil	líneálfaidh	líneáil	líneáilte	-	líneálaigí	líneáiltear
línigh	-	-	líneoidh	-	-	-	-	-
líomh	-	-	-	-	líofa	-	-	-
líomhain	líomhnaíonn	líomhain	líomhnóidh	líomhain	líomhainte	-	líomhnaígí	líomhnaítear
lódáil	lódálann	lódáil	lódálfaidh	lódáil	lódáilte	-	lódálaigí	lódáiltear
lóg	-	-	-	-	lógtha	-	-	-
lóisteáil	lóisteálann	lóisteáil	lóisteálfaidh	lóisteáil	lóisteáilte	-	lóisteálaigí	lóisteáiltear
lúb	-	-	-	-	lúbtha	-	-	-
lúbáil	lúbálann	lúbáil	lúbálfaidh	lúbáil	lúbáilte	-	lúbálaigí	lúbáiltear
lútáil	lútálann	lútáil	lútálfaidh	lútáil	lútáilte	-	lútálaigí	-
machnaigh	-	-	-	machnamh	-	-	-	-
macht	-	-	-	-	machta	-	-	machtar
maidhm	madhmann	maidhm	madhmfaidh	madhmadh	madhmtha	-	madhmaigí	madhmtar
mainnigh	-	-	-	mainneachtain	-	-	-	-
mair	-	-	mairfidh	maireachtáil	-	-	-	-
maisigh	-	-	maiseoidh	-	-	-	-	-
maistrigh	-	-	maistreoidh	maistreadh	-	-	-	-
maith	-	-	maithfidh	maitheamh	maite	-	-	maitear
malartaigh	-	-	malartóidh	-	-	-	-	-
mallaigh	-	-	mallóidh	-	-	-	-	-
maoinigh	-	-	maoineoidh	-	-	-	-	-
maolaigh	-	-	maolóidh	-	-	-	-	-
maoscail	maosclaíonn	maoscail	maosclóidh	maoscal	maoscailte	-	maosclaígí	maosclaítear
mapáil	mapálann	mapáil	mapálfaidh	mapáil	mapáilte	-	mapálaigí	mapáiltear
maraigh	-	-	maróidh	-	-	-	-	-
marcaigh	-	-	-	marcaíocht	-	-	-	-
marcáil	marcálann	marcáil	marcálfaidh	marcáil	marcáilte	-	marcálaigí	marcáiltear
margáil	margálann	margáil	margálfaidh	margáil	margáilte	-	margálaigí	margáiltear
masc	-	-	-	-	masctha	-	-	-
maslaigh	-	-	maslóidh	-	-	-	-	-
maígh	maíonn	maígh	maífidh	maíomh	maíte	-	maígí	maítear
meabhraigh	-	-	meabhróidh	-	-	-	-	-
meadráil	meadrálann	meadráil	meadrálfaidh	meadráil	meadráilte	-	meadrálaigí	meadráiltear
meaitseáil	meaitseálann	meaitseáil	meaitseálfaidh	meaitseáil	meaitseáilte	-	meaitseálaigí	meaitseáiltear
meallac	-	-	-	-	meallactha	-	-	-
meang	-	-	-	-	meangtha	-	-	-
mearsheachaid	mearsheachadann	mearsheachaid	mearsheachadfaidh	mearsheachadadh	mearsheachadta	-	mearsheachadaigí	mearsheachadtar
meas	-	-	-	meas	-	-	-	-
measc	-	-	-	-	measctha	-	-	-
measúnaigh	-	-	measúnóidh	-	-	-	-	-
meath	-	-	-	meath	meata	-	-	meatar
meathlaigh	-	-	meathlóidh	-	-	-	-	-
meil	-	-	meilfidh	meilt	-	-	-	-
meáigh	meánn	meáigh	meáfaidh	meá	meáite	-	meáigí	meáitear
miadhaigh	-	-	-	miadhughadh	miadhuighthe	-	-	-
mianraigh	-	-	mianróidh	-	-	-	-	-
mianrill	-	-	mianrillfidh	-	-	-	-	-
mill	-	-	millfidh	-	-	-	-	-
milsigh	-	-	milseoidh	-	-	-	-	-
mineastráil	mineastrálann	mineastráil	mineastrálfaidh	mineastráil	mineastráilte	-	mineastrálaigí	mineastráiltear
minicigh	-	-	miniceoidh	-	-	-	-	-
mionbhreac	-	-	-	-	mionbhreactha	-	-	-
mionbhrúigh	mionbhrúnn	mionbhrúigh	mionbhrúfaidh	mionbhrú	mionbhrúite	-	mionbhrúigí	mionbhrúitear
miondíol	-	-	-	miondíol	-	-	-	-
mionghearr	-	-	-	-	mionghearrtha	-	-	-
mionroinn	-	-	mionroinnfidh	mionroinnt	-	-	-	-
mionscag	-	-	-	-	mionscagtha	-	-	-
mionteagasc	-	-	-	mionteagasc	mionteagasctha	-	-	-
miotaigh	-	-	miotóidh	-	-	-	-	-
morg	-	-	-	-	morgtha	-	-	-
mothaigh	-	-	mothóidh	-	-	-	-	-
mugáil	mugálann	mugáil	mugálfaidh	mugáil	mugáilte	-	mugálaigí	mugáiltear
muilleáil	muilleálann	muilleáil	muilleálfaidh	muilleáil	muilleáilte	-	muilleálaigí	muilleáiltear
muirnigh	-	-	muirneoidh	-	-	-	-	-
mungail	munglaíonn	mungail	munglóidh	mungailt	mungailte	-	munglaígí	munglaítear
máirseáil	máirseálann	máirseáil	máirseálfaidh	máirseáil	máirseáilte	-	máirseálaigí	máirseáiltear
máistrigh	-	-	-	máistreacht	-	-	-	-
máithrigh	-	-	máithreoidh	-	-	-	-	-
mámáil	mámálann	mámáil	mámálfaidh	mámáil	mámáilte	-	mámálaigí	mámáiltear
méadaigh	-	-	méadóidh	-	-	-	-	-
mí-iompair	mí-iompraíonn	mí-iompair	mí-iompróidh	mí-iompar	mí-iompartha	-	mí-iompraígí	mí-iompraítear
mím	-	-	mímfidh	-	mímthe	-	-	-
mímheas	-	-	-	mímheas	-	-	-	-
mínigh	-	-	míneoidh	-	-	-	-	-
mínmheil	-	-	mínmheilfidh	mínmheilt	-	-	-	-
míog	-	-	-	-	míogtha	-	-	-
míostraigh	-	-	míostróidh	-	-	-	-	-
míriar	-	-	-	-	míriartha	-	-	-
míshásaigh	-	-	-	míshásamh	míshásta	-	-	-
mór	-	-	-	-	mórtha	-	-	-
múin	-	-	múinfidh	-	-	-	-	-
múitseáil	múitseálann	múitseáil	múitseálfaidh	múitseáil	múitseáilte	-	múitseálaigí	múitseáiltear
mún	-	-	-	mún	-	-	-	-
múr	-	-	-	-	múrtha	-	-	-
múráil	múrálann	múráil	múrálfaidh	múráil	múráilte	-	múrálaigí	múráiltear
múscail	músclaíonn	múscail	músclóidh	múscailt	múscailte	-	músclaígí	músclaítear
naomhaigh	-	-	naomhóidh	-	-	-	-	-
naomhainmnigh	-	-	naomhainmneoidh	-	-	-	-	-
nasc	-	-	-	-	nasctha	-	-	-
nasclean	-	-	-	nascleanúint	-	-	-	-
neamhcheangail	neamhcheanglaíonn	neamhcheangail	neamhcheanglóidh	neamhcheangal	neamhcheangailte	-	neamhcheanglaígí	neamhcheanglaítear
neartaigh	-	-	neartóidh	-	-	-	-	-
neodraigh	-	-	neodróidh	-	-	-	-	-
niamh	-	-	-	-	niafa	-	-	-
nicilphlátáil	nicilphlátálann	nicilphlátáil	nicilphlátálfaidh	nicilphlátáil	nicilphlátáilte	-	nicilphlátálaigí	nicilphlátáiltear
nigh	-	-	nífidh	ní	nite	-	-	nitear
nimhigh	-	-	nimheoidh	-	-	-	-	-
nocht	-	-	-	-	nochta	-	-	nochtar
nog	-	-	-	-	nogtha	-	-	-
náirigh	-	-	náireoidh	-	-	-	-	-
náisiúnaigh	-	-	náisiúnóidh	-	-	-	-	-
nótáil	nótálann	nótáil	nótálfaidh	nótáil	nótáilte	-	nótálaigí	nótáiltear
núiceáil	núiceálann	núiceáil	núiceálfaidh	núiceáil	núiceáilte	-	núiceálaigí	núiceáiltear
ob	-	-	-	-	obtha	-	-	-
ocsaiginigh	-	-	ocsaigineoidh	-	-	-	-	-
ofráil	ofrálann	ofráil	ofrálfaidh	ofráil	ofráilte	-	ofrálaigí	ofráiltear
oibrigh	-	-	oibreoidh	-	-	-	-	-
oighrigh	-	-	oighreoidh	-	-	-	-	-
oil	-	-	oilfidh	oiliúint	-	-	-	-
oir	-	-	oirfidh	oiriúint	oirthe	-	-	-
oiris	-	-	oirisfidh	oiriseamh	-	-	-	-
oiriúnaigh	-	-	oiriúnóidh	-	-	-	-	-
olltáirg	-	-	olltáirgfidh	-	olltáirgthe	-	-	-
onóraigh	-	-	onóróidh	-	-	-	-	-
ordaigh	-	-	ordóidh	-	-	-	-	-
oscail	osclaíonn	oscail	osclóidh	oscailt	oscailte	-	osclaígí	osclaítear
osnaigh	-	-	-	osnaíl	-	-	-	-
pacáil	pacálann	pacáil	pacálfaidh	pacáil	pacáilte	-	pacálaigí	pacáiltear
pailnigh	-	-	pailneoidh	-	-	-	-	-
paisteáil	paisteálann	paisteáil	paisteálfaidh	paisteáil	paisteáilte	-	paisteálaigí	paisteáiltear
paistéar	-	-	-	-	paistéartha	-	-	-
pannáil	pannálann	pannáil	pannálfaidh	pannáil	pannáilte	-	pannálaigí	pannáiltear
paraisiútáil	paraisiútálann	paraisiútáil	paraisiútálfaidh	paraisiútáil	paraisiútáilte	-	paraisiútálaigí	paraisiútáiltear
parsáil	parsálann	parsáil	parsálfaidh	parsáil	parsáilte	-	parsálaigí	parsáiltear
pasáil	pasálann	pasáil	pasálfaidh	pasáil	pasáilte	-	pasálaigí	pasáiltear
peacaigh	-	-	peacóidh	-	-	-	-	-
peanáil	peanálann	peanáil	peanálfaidh	peanáil	peanáilte	-	peanálaigí	peanáiltear
piardáil	piardálann	piardáil	piardálfaidh	piardáil	piardáilte	-	piardálaigí	piardáiltear
pic	-	-	picfidh	-	picthe	-	-	-
picil	-	-	picilfidh	-	-	-	-	-
pinseáil	pinseálann	pinseáil	pinseálfaidh	pinseáil	pinseáilte	-	pinseálaigí	pinseáiltear
pioc	-	-	-	-	pioctha	-	-	-
pionnáil	pionnálann	pionnáil	pionnálfaidh	pionnáil	pionnáilte	-	pionnálaigí	pionnáiltear
pionósaigh	-	-	pionósóidh	-	-	-	-	-
pitseáil	pitseálann	pitseáil	pitseálfaidh	pitseáil	pitseáilte	-	pitseálaigí	pitseáiltear
plab	-	-	-	-	plabtha	-	-	-
plac	-	-	-	-	plactha	-	-	-
planc	-	-	-	-	planctha	-	-	-
plandáil	plandálann	plandáil	plandálfaidh	plandáil	plandáilte	-	plandálaigí	plandáiltear
pleanáil	pleanálann	pleanáil	pleanálfaidh	pleanáil	pleanáilte	-	pleanálaigí	pleanáiltear
pluc	-	-	-	-	pluctha	-	-	-
plucáil	plucálann	plucáil	plucálfaidh	plucáil	plucáilte	-	plucálaigí	plucáiltear
plugáil	plugálann	plugáil	plugálfaidh	plugáil	plugáilte	-	plugálaigí	plugáiltear
pláigh	plánn	pláigh	pláfaidh	plá	pláite	-	pláigí	pláitear
plánáil	plánálann	plánáil	plánálfaidh	plánáil	plánáilte	-	plánálaigí	plánáiltear
plástráil	plástrálann	plástráil	plástrálfaidh	plástráil	plástráilte	-	plástrálaigí	plástráiltear
plátáil	plátálann	plátáil	plátálfaidh	plátáil	plátáilte	-	plátálaigí	plátáiltear
pléadáil	pléadálann	pléadáil	pléadálfaidh	pléadáil	pléadáilte	-	pléadálaigí	pléadáiltear
pléasc	-	-	-	-	pléasctha	-	-	-
pléatáil	pléatálann	pléatáil	pléatálfaidh	pléatáil	pléatáilte	-	pléatálaigí	pléatáiltear
pléigh	pléann	pléigh	pléifidh	plé	pléite	-	pléigí	pléitear
plúraigh	-	-	plúróidh	-	-	-	-	-
pocléim	-	-	pocléimfidh	pocléim	pocléimthe	-	-	-
pocáil	pocálann	pocáil	pocálfaidh	pocáil	pocáilte	-	pocálaigí	pocáiltear
pointeáil	pointeálann	pointeáil	pointeálfaidh	pointeáil	pointeáilte	-	pointeálaigí	pointeáiltear
poit	-	-	poitfidh	-	poite	-	-	poitear
poncloisc	-	-	poncloiscfidh	poncloscadh	poncloiscthe	-	-	-
popáil	popálann	popáil	popálfaidh	popáil	popáilte	-	popálaigí	popáiltear
postmharcáil	postmharcálann	postmharcáil	postmharcálfaidh	postmharcáil	postmharcáilte	-	postmharcálaigí	postmharcáiltear
postáil	postálann	postáil	postálfaidh	postáil	postáilte	-	postálaigí	postáiltear
praghsáil	praghsálann	praghsáil	praghsálfaidh	praghsáil	praghsáilte	-	praghsálaigí	praghsáiltear
pramsáil	pramsálann	pramsáil	pramsálfaidh	pramsáil	pramsáilte	-	pramsálaigí	pramsáiltear
prapáil	prapálann	prapáil	prapálfaidh	prapáil	prapáilte	-	prapálaigí	prapáiltear
preab	-	-	-	-	preabtha	-	-	-
preasáil	preasálann	preasáil	preasálfaidh	preasáil	preasáilte	-	preasálaigí	preasáiltear
prioc	-	-	-	-	prioctha	-	-	-
priontáil	priontálann	priontáil	priontálfaidh	priontáil	priontáilte	-	priontálaigí	priontáiltear
priosláil	prioslálann	priosláil	prioslálfaidh	priosláil	priosláilte	-	prioslálaigí	priosláiltear
profáil	profálann	profáil	profálfaidh	profáil	profáilte	-	profálaigí	profáiltear
promh	-	-	-	-	profa	-	-	-
práib	-	-	práibfidh	-	práibthe	-	-	-
prásáil	prásálann	prásáil	prásálfaidh	prásáil	prásáilte	-	prásálaigí	prásáiltear
prímeáil	prímeálann	prímeáil	prímeálfaidh	prímeáil	prímeáilte	-	prímeálaigí	prímeáiltear
próiseáil	próiseálann	próiseáil	próiseálfaidh	próiseáil	próiseáilte	-	próiseálaigí	próiseáiltear
prúnáil	prúnálann	prúnáil	prúnálfaidh	prúnáil	prúnáilte	-	prúnálaigí	prúnáiltear
puinseáil	puinseálann	puinseáil	puinseálfaidh	puinseáil	puinseáilte	-	puinseálaigí	puinseáiltear
pulc	-	-	-	-	pulctha	-	-	-
pumpáil	pumpálann	pumpáil	pumpálfaidh	pumpáil	pumpáilte	-	pumpálaigí	pumpáiltear
pábháil	pábhálann	pábháil	pábhálfaidh	pábháil	pábháilte	-	pábhálaigí	pábháiltear
páirceáil	páirceálann	páirceáil	páirceálfaidh	páirceáil	páirceáilte	-	páirceálaigí	páirceáiltear
páirtigh	-	-	páirteoidh	-	-	-	-	-
pánáil	pánálann	pánáil	pánálfaidh	pánáil	pánáilte	-	pánálaigí	pánáiltear
páráil	párálann	páráil	párálfaidh	páráil	páráilte	-	párálaigí	páráiltear
péac	-	-	-	-	péactha	-	-	-
péinteáil	péinteálann	péinteáil	péinteálfaidh	péinteáil	péinteáilte	-	péinteálaigí	péinteáiltear
péireáil	péireálann	péireáil	péireálfaidh	péireáil	péireáilte	-	péireálaigí	péireáiltear
péirseáil	péirseálann	péirseáil	péirseálfaidh	péirseáil	péirseáilte	-	péirseálaigí	péirseáiltear
píceáil	píceálann	píceáil	píceálfaidh	píceáil	píceáilte	-	píceálaigí	píceáiltear
píob	-	-	-	-	píobtha	-	-	-
píopáil	píopálann	píopáil	píopálfaidh	píopáil	píopáilte	-	píopálaigí	píopáiltear
píosáil	píosálann	píosáil	píosálfaidh	píosáil	píosáilte	-	píosálaigí	píosáiltear
póg	-	-	-	-	pógtha	-	-	-
póirseáil	póirseálann	póirseáil	póirseálfaidh	póirseáil	póirseáilte	-	póirseálaigí	póirseáiltear
póraigh	-	-	póróidh	-	-	-	-	-
púdraigh	-	-	púdróidh	-	-	-	-	-
púdráil	púdrálann	púdráil	púdrálfaidh	púdráil	púdráilte	-	púdrálaigí	púdráiltear
púitseáil	púitseálann	púitseáil	púitseálfaidh	púitseáil	púitseáilte	-	púitseálaigí	púitseáiltear
rabhláil	rabhlálann	rabhláil	rabhlálfaidh	rabhláil	rabhláilte	-	rabhlálaigí	rabhláiltear
racáil	racálann	racáil	racálfaidh	racáil	racáilte	-	racálaigí	racáiltear
radagraf	-	-	radagrafaidh	-	radagrafa	-	-	-
raiceáil	raiceálann	raiceáil	raiceálfaidh	raiceáil	raiceáilte	-	raiceálaigí	raiceáiltear
raifleáil	raifleálann	raifleáil	raifleálfaidh	raifleáil	raifleáilte	-	raifleálaigí	raifleáiltear
