# lemma	past	future	vn	ptcp  (mined principal parts, delenited past; "-" = derive)
abair	tuirt	their	ràdh	ràite
gléidh	gléidh	gléidhidh	gléidheadh	gléidhte
gnog	gnog	gnogaidh	gnogadh	gnogte
gnìomh	gnìomh	gnìomhaidh	gnìomhadh	gnìomhte
gnìomhaich	gnìomhaich	gnìomhaichidh	gnìomhachadh	gnìomhaichte
goid	goid	goididh	goid	goidte
goil	goil	goilidh	goil	goilte
gon	gon	gonaidh	gonadh	gonte
greas	greas	greasaidh	greasadh	greaste
greim	greim	greimidh	greimeadh	-
grunnaich	grunnaich	grunnaichidh	grunnachadh	grunnaichte
gràdhaich	gràdhaich	gràdhaichidh	gràdhachadh	gràdhaichte
grèim	grèim	greimidh	greimeadh	grèimte
grìos	grìos	grìosaidh	grìosadh	grìoste
grìosaich	grìosaich	grìosaichidh	grìosachadh	grìosaichte
guidh	guidh	guidhidh	guidhe	guidhte
guil	guil	guilidh	gul	guilte
guir	guir	guiridh	gur	guirte
gàir	gàir	gàiridh	gàireachdainn	gàirte
gèill	gèill	gèillidh	gèilleadh	gèillte
iadh	iadh	iadhaidh	iadhadh	iadhte
iarr	iarr	iarraidh	iarraidh	iarrte
iasgaich	iasgaich	iasgaichidh	iasgach	iasgaichte
iath	iath	iathaidh	iathadh	iadhte
ilmich	ilmich	ilmichidh	ilmeach	ilmichte
imich	imich	imichidh	imeachd	imichte
imlich	imlich	imlichidh	imlich	imlichte
imrich	imrich	imrichidh	imrich	imrichte
innis	innis	innsidh	innse	inniste
inntrinn	inntrinn	inntrinnidh	inntreadh	inntrinnte
iom-sheòl	iom-sheòl	iom-sheòlaidh	iom-sheòladh	iom-sheòlta
ioma-ghlac	ioma-ghlac	ioma-ghlacaidh	ioma-ghlacadh	ioma-ghlacte
iomair	iomair	iomairidh	iomradh	iomairte
iompaich	iompaich	iompaichidh	iompachadh	iompaichte
ionndrainn	ionndrainn	ionndrainnidh	ionndrainn	ionndrainnte
ionnlaid	ionnlaid	ionnlaididh	ionnlaid	ionnlaidte
ionnsaich	ionnsaich	ionnsaichidh	ionnsachadh	ionnsaichte
ioraim	ioraim	ioraimidh	iormadh	ioraimte
itealaich	itealaich	itealaichidh	itealaich	itealaichte
ith	ith	ithidh	ithe	ithte
labhair	labhair	labhraidh	labhairt	-
lagaich	lagaich	lagaichidh	lagachadh	lagaichte
laghaich	laghaich	laghaichidh	laghachadh	laghaichte
laigh	laigh	laighidh	laighe	laighte
leagh	leagh	leaghaidh	leaghadh	leaghte
lean	lean	leanaidh	leantainn	leanta
